         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	        temp	         Alk	          mu	      charge	     pct_err	          Na	           K	          Mg	          Ca	           F	          Cl	       S(+6)	          Br	       N(+5)	        P(5)	          Al	           V	          Cr	          Mn	          Fe	          Cu	          Zn	          Ga	          As	          Si	       m_OH-	     m_HCO3-	     m_CO3-2	     Calcite	   d_Calcite	  si_Fe(OH)2	  si_Fe(OH)3	 si_Gibbsite	 si_Goethite	si_Pyrolusite	si_Kaolinite	 si_Diaspore	si_Magnetite	 si_Boehmite	  si_Cuprite	   si_CO2(g)	  Sample_Ref	  EC_(uS/cm)	TDS_g/kg-solution	    alk_mg/L	
           2	      i_soln	          18	         -99	         -99	         -99	     11.3814	           4	      30.200	  0.00770382	  0.00549589	 3.13401e-18	 3.07573e-14	  4.2413e-03	  7.1627e-05	  4.3332e-06	  4.0004e-04	  2.2727e-05	  5.0216e-05	  0.0000e+00	  4.1044e-05	  5.5640e-05	  0.0000e+00	  7.9920e-04	  3.5517e-06	  3.6489e-07	  3.0949e-07	  3.4600e-04	  1.5336e-07	  1.8599e-06	  2.8518e-07	  1.5405e-07	  1.1222e-04	  3.6791e-03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -9.3229	      1.3301	      0.4007	      6.3716	      4.0930	     -1.7627	      1.0169	      7.9520	      0.6225	     -3.8514	   -999.9990	     5WBRA2 	  0.0000e+00	  2.8734e-01	  3.8558e-04	
           2	      i_soln	          19	         -99	         -99	         -99	      11.428	           4	      30.900	  0.00859599	  0.00600953	  1.3773e-17	 1.21904e-13	  4.9291e-03	  7.4415e-06	  1.7929e-06	  3.6460e-04	  2.5786e-05	  5.1373e-05	  0.0000e+00	  4.2421e-05	  5.5469e-05	  0.0000e+00	  9.9233e-04	  2.9608e-06	  1.2626e-07	  8.3709e-10	  1.2085e-04	  7.0197e-08	  3.1646e-07	  1.5966e-07	  1.1818e-07	  4.2122e-05	  4.3208e-03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -9.8450	      0.8592	      0.4160	      5.8917	      2.6289	     -2.7358	      1.0351	      6.4698	      0.6418	     -4.8109	   -999.9990	    5WBRS2  	  0.0000e+00	  2.8815e-01	  4.3023e-04	
           2	      i_soln	          20	         -99	         -99	         -99	     11.5168	           4	      30.300	  0.00752993	    0.007546	-1.41686e-17	-1.20563e-13	  2.4789e-03	  5.5637e-06	  1.2300e-08	  1.8537e-03	  2.6254e-05	  4.1470e-05	  0.0000e+00	  0.0000e+00	  5.6746e-05	  1.2706e-04	  4.8670e-04	  1.4493e-06	  3.2125e-10	  8.3707e-10	  5.6663e-10	  7.6098e-08	  1.2045e-07	  2.1703e-07	  4.1984e-10	  1.1488e-05	  5.1243e-03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -15.3788	     -4.5898	      0.0405	      0.4504	      2.7630	     -4.7031	      0.6571	     -9.9462	      0.2628	     -5.3095	   -999.9990	    5WBRG2  	  0.0000e+00	  2.6694e-01	  3.7687e-04	
           2	       react	           1	         -99	           0	           1	     9.30879	     9.57751	      25.600	   0.0342717	   0.0207256	-1.82898e-15	-4.76523e-12	  1.9438e-02	  2.6001e-05	  1.2305e-08	  1.3084e-05	  6.1937e-05	  9.2122e-05	  0.0000e+00	  0.0000e+00	  5.1069e-05	  0.0000e+00	  4.9879e-03	  9.9016e-06	  4.9826e-07	  1.1254e-07	  5.6689e-10	  1.9887e-06	  1.1535e-06	  2.6593e-06	  1.5906e-07	  3.5478e-06	  2.3671e-05	  1.0892e-02	  1.5101e-03	  1.8003e-03	  1.8003e-03	    -17.1842	     -3.0574	      3.4456	      2.0441	      6.4586	      4.4079	      4.0424	     -8.5598	      3.6403	    -13.5232	     -3.5000	      1WBR1 	  0.0000e+00	  1.5232e+00	  1.7153e-03	
           3	       react	           1	         -99	           0	           1	     9.30879	     9.57751	      25.600	   0.0342717	   0.0207256	-9.62889e-17	-2.50871e-13	  1.9438e-02	  2.6001e-05	  1.2305e-08	  1.3084e-05	  6.1937e-05	  9.2122e-05	  0.0000e+00	  0.0000e+00	  5.1069e-05	  0.0000e+00	  4.9879e-03	  9.9016e-06	  4.9826e-07	  1.1254e-07	  5.6689e-10	  1.9887e-06	  1.1535e-06	  2.6593e-06	  1.5906e-07	  3.5478e-06	  2.3671e-05	  1.0892e-02	  1.5101e-03	  1.8003e-03	  1.8003e-03	    -17.1842	     -3.0574	      3.4456	      2.0441	      6.4586	      4.4079	      4.0424	     -8.5598	      3.6403	    -13.5232	     -3.5000	      1WBR1 	  0.0000e+00	  1.5232e+00	  1.7153e-03	
           3	       react	           2	         -99	           0	           1	     9.31946	     9.55315	      25.600	    0.029752	   0.0201454	-9.97198e-17	-2.68915e-13	  1.8736e-02	  1.0006e-04	  1.2305e-08	  1.2765e-05	  2.8561e-05	  2.7819e-04	  0.0000e+00	  0.0000e+00	  5.2974e-05	  0.0000e+00	  3.7380e-03	  1.5778e-05	  7.2765e-07	  8.3742e-10	  1.3813e-05	  5.7471e-07	  1.7046e-07	  2.2229e-06	  4.2041e-07	  2.0986e-04	  2.4219e-05	  1.1144e-02	  1.5759e-03	  1.4743e-03	  1.4743e-03	    -12.7874	      1.3256	      3.3104	      6.4272	      4.3042	      7.6790	      3.9072	      4.6032	      3.5051	    -14.6011	     -3.5000	     1WBRA2 	  0.0000e+00	  1.4772e+00	  1.4891e-03	
           3	       react	           3	         -99	           0	           1	     9.32025	     9.47505	      29.300	   0.0336715	   0.0208834	-3.37685e-17	 -8.7798e-14	  1.9494e-02	  2.4973e-05	  1.2305e-08	  1.2525e-05	  7.8423e-05	  8.7776e-05	  0.0000e+00	  0.0000e+00	  2.2860e-04	  0.0000e+00	  4.8322e-03	  1.7385e-05	  4.3002e-07	  8.3745e-10	  4.6620e-07	  9.9673e-08	  1.3890e-07	  2.7655e-06	  4.1482e-07	  2.8149e-04	  3.1932e-05	  1.0596e-02	  1.6220e-03	  1.4051e-03	  1.4051e-03	    -14.0275	      0.0333	      3.2543	      5.0865	      4.6705	      7.6716	      3.8670	      0.6784	      3.4710	    -15.8475	     -3.5000	     1WBRS1 	  0.0000e+00	  1.5327e+00	  1.6853e-03	
           3	       react	           4	         -99	           0	           1	     9.56247	     8.99916	      30.200	   0.0315995	   0.0368995	 -1.5867e-13	-2.55091e-10	  3.1856e-02	  3.9066e-05	  1.5558e-06	  9.1729e-06	  2.4583e-05	  1.1824e-04	  7.9049e-05	  0.0000e+00	  5.0958e-05	  0.0000e+00	  8.5767e-06	  2.7586e-06	  3.8994e-07	  8.3771e-10	  4.4322e-06	  3.5424e-07	  2.7415e-07	  3.0721e-07	  4.2016e-10	  1.7495e-05	  6.1816e-05	  1.8935e-02	  5.7307e-03	  1.2712e-02	  1.2712e-02	    -12.8941	      0.9387	      0.2052	      5.9806	      4.3438	     -1.1678	      0.8217	      3.5995	      0.4273	    -15.1582	     -3.5000	    1WBRG2  	  0.0000e+00	  2.2964e+00	  1.5816e-03	
           3	       react	           5	         -99	           0	           1	     9.13792	     9.56898	      29.800	   0.0174051	    0.011072	-1.93607e-15	-9.27506e-12	  1.0491e-02	  1.4138e-05	  1.2302e-08	  1.7981e-05	  3.3635e-05	  5.8181e-05	  0.0000e+00	  0.0000e+00	  5.0213e-05	  0.0000e+00	  2.3323e-03	  6.9533e-06	  2.0589e-07	  8.3721e-10	  5.6673e-10	  7.2852e-08	  1.4675e-07	  8.4949e-07	  1.2400e-07	  3.3303e-05	  2.1020e-05	  6.6861e-03	  6.1515e-04	  8.9356e-04	  8.9356e-04	    -16.7698	     -2.7940	      3.1132	      2.2527	      4.5381	      5.6681	      3.7278	     -7.7323	      3.3327	    -15.4020	     -3.5000	      2WBR1 	  0.0000e+00	  8.3938e-01	  8.7113e-04	
           3	       react	           6	         -99	           0	           1	     9.17487	     9.49107	      30.100	   0.0189445	   0.0124622	-1.69706e-15	-7.25759e-12	  1.1727e-02	  6.2149e-05	  1.2302e-08	  1.6460e-05	  1.6592e-04	  8.3805e-05	  0.0000e+00	  4.2241e-05	  5.3115e-05	  0.0000e+00	  2.4696e-03	  1.0930e-05	  4.1853e-07	  1.0958e-07	  4.1074e-05	  1.5240e-06	  7.6875e-07	  9.9775e-07	  3.2366e-07	  1.4921e-04	  2.3523e-05	  7.2889e-03	  7.4662e-04	  1.0913e-03	  1.0913e-03	    -11.8675	      2.0692	      3.0854	      7.1121	      6.6211	      6.8807	      3.7013	      6.8887	      3.3066	    -12.7570	     -3.5000	     2WBRA1 	  0.0000e+00	  9.4319e-01	  9.4817e-04	
           3	       react	           7	         -99	           0	           1	     9.12283	     9.57906	      30.100	   0.0151691	   0.0102132	-3.36395e-16	-1.74808e-12	  9.6681e-03	  1.5438e-05	  1.2651e-06	  1.8538e-05	  3.4782e-05	  6.2214e-05	  0.0000e+00	  0.0000e+00	  5.0434e-05	  0.0000e+00	  1.8548e-03	  1.1538e-05	  1.2119e-07	  8.3720e-10	  1.5995e-05	  6.2965e-08	  1.0251e-07	  6.0185e-07	  3.6769e-07	  1.7983e-04	  2.0665e-05	  6.4054e-03	  5.6604e-04	  9.9831e-04	  9.9831e-04	    -12.2973	      1.6755	      3.0173	      6.7183	      4.5668	      6.9409	      3.6331	      5.6713	      3.2385	    -15.4733	     -3.5000	    2WBRS1  	  0.0000e+00	  7.8363e-01	  7.5921e-04	
           3	       react	           8	         -99	           0	           1	     9.28282	     9.41778	      29.600	   0.0122498	    0.013602	-3.03163e-14	-1.23262e-10	  1.2430e-02	  1.7589e-05	  1.4816e-06	  1.3014e-05	  2.8318e-05	  5.8082e-05	  5.3663e-05	  0.0000e+00	  5.0347e-05	  0.0000e+00	  2.9974e-06	  2.7498e-06	  1.0042e-07	  8.3741e-10	  4.6922e-06	  1.0655e-07	  2.4299e-07	  1.8067e-07	  4.2001e-10	  1.7155e-04	  2.9225e-05	  9.4560e-03	  1.2465e-03	  1.2425e-02	  1.2425e-02	    -12.9004	      1.0677	      0.0817	      6.1170	      4.5204	      0.9519	      0.6956	      3.8661	      0.3001	    -15.4266	     -3.5000	     2WBRG1 	  0.0000e+00	  9.7127e-01	  6.1310e-04	
           3	       react	           9	         -99	           0	           1	     8.99932	     9.71529	      30.200	    0.010514	  0.00710971	-1.51452e-15	-1.11658e-11	  6.7784e-03	  1.1167e-05	  1.2301e-08	  2.5962e-05	  1.9511e-05	  4.9993e-05	  0.0000e+00	  0.0000e+00	  5.4821e-05	  0.0000e+00	  1.2608e-03	  6.4598e-06	  2.1605e-07	  1.2726e-07	  1.2207e-06	  2.0352e-06	  1.0770e-06	  2.6324e-07	  4.1987e-10	  1.9147e-04	  1.5416e-05	  4.7391e-03	  3.0158e-04	  9.3864e-04	  9.3864e-04	    -13.3920	      0.5942	      2.9755	      5.6357	      6.7561	      6.9668	      3.5917	      2.4112	      3.1972	    -12.2598	     -3.5000	      3WBR2 	  0.0000e+00	  5.6093e-01	  5.2623e-04	
           3	       react	          10	         -99	           0	           1	     9.01729	     9.73916	      29.600	   0.0114027	  0.00766502	-3.61129e-15	-2.47134e-11	  7.2833e-03	  3.6456e-05	  1.6680e-06	  2.4867e-05	  2.4798e-05	  6.0744e-05	  0.0000e+00	  4.3889e-05	  7.0983e-05	  0.0000e+00	  1.3472e-03	  7.6578e-06	  3.4750e-07	  1.2055e-07	  1.7946e-04	  1.6197e-07	  3.1603e-07	  4.3469e-07	  2.3417e-07	  2.0480e-04	  1.5436e-05	  4.9985e-03	  3.3088e-04	  9.5799e-04	  9.5799e-04	    -11.2954	      2.7286	      3.0113	      7.7779	      6.7389	      7.1100	      3.6251	      8.7926	      3.2296	    -14.5870	     -3.5000	     3WBRA2 	  0.0000e+00	  6.2191e-01	  5.7070e-04	
           3	       react	          11	         -99	           0	           1	       8.999	       9.646	      31.400	   0.0109196	  0.00715381	-1.80805e-17	-1.32484e-13	  6.8089e-03	  1.2599e-05	  2.4519e-06	  2.5616e-05	  1.8627e-05	  7.2225e-05	  0.0000e+00	  0.0000e+00	  5.6557e-05	  0.0000e+00	  1.3735e-03	  6.7916e-06	  1.9371e-07	  8.3713e-10	  6.1342e-05	  1.2274e-07	  2.2883e-07	  2.7314e-07	  2.2508e-07	  2.5141e-06	  1.6787e-05	  4.6533e-03	  3.0256e-04	  1.0341e-03	  1.0341e-03	    -11.5720	      2.3524	      2.9606	      7.3786	      4.5990	      3.1319	      3.5816	      7.7162	      3.1891	    -14.5245	     -3.5000	    3WBRS2  	  0.0000e+00	  5.5853e-01	  5.4653e-04	
           3	       react	          12	         -99	           0	           1	     8.90812	     9.87239	      29.700	  0.00505552	  0.00515923	-3.21525e-17	-3.29174e-13	  4.8510e-03	  8.8436e-06	  1.2300e-08	  3.5958e-05	  2.2870e-05	  2.6895e-04	  5.2821e-06	  0.0000e+00	  5.7277e-05	  5.5219e-05	  1.5955e-04	  2.5544e-06	  4.2735e-08	  8.3711e-10	  7.8319e-07	  7.5630e-08	  1.8845e-07	  3.3267e-07	  4.1986e-10	  3.7295e-04	  1.1908e-05	  3.8240e-03	  1.8865e-04	  2.4503e-03	  2.4503e-03	    -13.6525	      0.3963	      2.1960	      5.4442	      4.5760	      6.0372	      2.8102	      1.7680	      2.4149	    -15.2138	     -3.5000	    3WBRG3  	  0.0000e+00	  4.1256e-01	  2.5303e-04	
