         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	        temp	         Alk	          mu	      charge	     pct_err	          Na	           K	          Mg	          Ca	           F	          Cl	       S(+6)	          Br	       N(+5)	        P(5)	          Al	           V	          Cr	          Mn	          Fe	          Cu	          Zn	          Ga	          As	          Si	       m_OH-	     m_HCO3-	  si_Fe(OH)2	  si_Fe(OH)3	 si_Gibbsite	 si_Goethite	si_Pyrolusite	si_Kaolinite	 si_Diaspore	si_Magnetite	 si_Boehmite	  si_Cuprite	  Sample_Ref	  EC_(uS/cm)	TDS_g/kg-solution	    alk_mg/L	
           2	      i_soln	           1	         -99	         -99	         -99	     12.1544	           4	      25.600	   0.0378575	   0.0244194	-1.93416e-16	-4.23263e-13	  1.9439e-02	  2.6000e-05	  1.2302e-08	  1.8133e-03	  6.1941e-05	  9.2126e-05	  0.0000e+00	  0.0000e+00	  5.1074e-05	  0.0000e+00	  4.9882e-03	  0.0000e+00	  0.0000e+00	  1.1255e-07	  5.6692e-10	  1.9888e-06	  1.1539e-06	  0.0000e+00	  0.0000e+00	  3.5474e-06	  1.7650e-02	  0.0000e+00	   -999.9990	   -999.9990	      0.0055	      1.1114	      6.3861	     -7.0415	   -999.9990	   -999.9990	   -999.9990	   -999.9990	      1WBR1 	  4.4348e+03	  1.3054e+00	  1.8948e-03	
           2	      i_soln	           2	         -99	         -99	         -99	     12.1466	           4	      25.600	   0.0326815	   0.0229296	 2.20315e-17	 5.09678e-14	  1.8737e-02	  1.0006e-04	  1.2302e-08	  1.4869e-03	  2.8562e-05	  2.7820e-04	  0.0000e+00	  0.0000e+00	  5.2979e-05	  0.0000e+00	  3.7382e-03	  0.0000e+00	  0.0000e+00	  8.3746e-10	  1.3814e-05	  5.7474e-07	  1.7052e-07	  0.0000e+00	  0.0000e+00	  2.0984e-04	  1.7265e-02	  0.0000e+00	   -999.9990	   -999.9990	     -0.1103	      5.5075	      4.2441	     -3.7072	   -999.9990	   -999.9990	   -999.9990	   -999.9990	     1WBRA2 	  4.3262e+03	  1.1805e+00	  1.6357e-03	
           2	      i_soln	           3	         -99	         -99	         -99	     12.0107	           4	      29.300	    0.036459	   0.0235225	 7.20598e-18	 1.62203e-14	  1.9495e-02	  2.4972e-05	  1.2302e-08	  1.4176e-03	  7.8427e-05	  8.7780e-05	  0.0000e+00	  0.0000e+00	  2.2861e-04	  0.0000e+00	  4.8324e-03	  0.0000e+00	  0.0000e+00	  8.3750e-10	  4.6622e-07	  9.9679e-08	  1.3895e-07	  0.0000e+00	  0.0000e+00	  2.8146e-04	  1.6671e-02	  0.0000e+00	   -999.9990	   -999.9990	     -0.0378	      4.0147	      4.4543	     -3.2307	   -999.9990	   -999.9990	   -999.9990	   -999.9990	     1WBRS1 	  4.5137e+03	  1.2950e+00	  1.8248e-03	
           2	      i_soln	           4	         -99	         -99	         -99	     12.4614	           4	      30.200	     0.05703	   0.0648136	 1.44992e-16	 1.32586e-13	  3.1867e-02	  3.9075e-05	  1.5559e-06	  1.2721e-02	  2.4591e-05	  1.1828e-04	  7.9057e-05	  0.0000e+00	  5.0975e-05	  0.0000e+00	  8.5796e-06	  0.0000e+00	  0.0000e+00	  8.3800e-10	  4.4337e-06	  3.5436e-07	  2.7432e-07	  0.0000e+00	  0.0000e+00	  1.7497e-05	  5.4332e-02	  0.0000e+00	   -999.9990	   -999.9990	     -3.3113	      4.4776	      5.4167	    -13.4390	   -999.9990	   -999.9990	   -999.9990	   -999.9990	    1WBRG2  	  1.3430e+04	  2.2264e+00	  2.8544e-03	
           2	      i_soln	           5	         -99	         -99	         -99	      11.777	           4	      29.800	   0.0191837	   0.0131208	-6.96415e-17	-2.83847e-13	  1.0491e-02	  1.4137e-05	  1.2299e-08	  9.1149e-04	  3.3636e-05	  5.8182e-05	  0.0000e+00	  0.0000e+00	  5.0215e-05	  0.0000e+00	  2.3324e-03	  0.0000e+00	  0.0000e+00	  8.3723e-10	  5.6674e-10	  7.2854e-08	  1.4680e-07	  0.0000e+00	  0.0000e+00	  3.3298e-05	  9.7576e-03	  0.0000e+00	   -999.9990	   -999.9990	     -0.1299	      1.3249	      3.9196	     -4.7543	   -999.9990	   -999.9990	   -999.9990	   -999.9990	      2WBR1 	  2.6591e+03	  6.7541e-01	  9.6014e-04	
           2	      i_soln	           6	         -99	         -99	         -99	      11.813	           4	      30.100	   0.0211149	   0.0149678	-3.18012e-16	-1.14178e-12	  1.1727e-02	  6.2145e-05	  1.2299e-08	  1.1077e-03	  1.6592e-04	  8.3807e-05	  0.0000e+00	  4.2243e-05	  5.3118e-05	  0.0000e+00	  2.4697e-03	  0.0000e+00	  0.0000e+00	  1.0959e-07	  4.1075e-05	  1.5241e-06	  7.6901e-07	  0.0000e+00	  0.0000e+00	  1.4918e-04	  1.0911e-02	  0.0000e+00	   -999.9990	   -999.9990	     -0.1577	      6.1340	      6.1713	     -3.6082	   -999.9990	   -999.9990	   -999.9990	   -999.9990	     2WBRA1 	  3.0028e+03	  7.6970e-01	  1.0568e-03	
           2	      i_soln	           7	         -99	         -99	         -99	     11.7543	           4	      30.100	   0.0171533	   0.0126193	 -2.6437e-13	-1.13422e-09	  9.6683e-03	  1.5437e-05	  1.2648e-06	  1.0168e-03	  3.4783e-05	  6.2215e-05	  0.0000e+00	  0.0000e+00	  5.0435e-05	  0.0000e+00	  1.8548e-03	  0.0000e+00	  0.0000e+00	  8.3722e-10	  1.5995e-05	  6.2967e-08	  1.0254e-07	  0.0000e+00	  0.0000e+00	  1.7981e-04	  9.4455e-03	  0.0000e+00	   -999.9990	   -999.9990	     -0.2197	      5.7865	      3.8944	     -3.4359	   -999.9990	   -999.9990	   -999.9990	   -999.9990	    2WBRS1  	  2.5785e+03	  6.2635e-01	  8.5852e-04	
           2	      i_soln	           8	         -99	         -99	         -99	     12.3003	           4	      29.600	    0.037099	   0.0457747	 5.69504e-17	 8.07008e-14	  1.2433e-02	  1.7591e-05	  1.4815e-06	  1.2438e-02	  2.8325e-05	  5.8095e-05	  5.3664e-05	  0.0000e+00	  5.0359e-05	  0.0000e+00	  2.9982e-06	  0.0000e+00	  0.0000e+00	  8.3762e-10	  4.6934e-06	  1.0658e-07	  2.4312e-07	  0.0000e+00	  0.0000e+00	  1.7156e-04	  3.4854e-02	  0.0000e+00	   -999.9990	   -999.9990	     -3.5678	      4.6982	      5.0822	    -11.4754	   -999.9990	   -999.9990	   -999.9990	   -999.9990	     2WBRG1 	  8.6477e+03	  1.4380e+00	  1.8568e-03	
           2	      i_soln	           9	         -99	         -99	         -99	     11.6321	           4	      30.200	   0.0123846	   0.0095962	 8.59473e-18	 4.95637e-14	  6.7786e-03	  1.1166e-05	  1.2297e-08	  9.6456e-04	  1.9512e-05	  4.9994e-05	  0.0000e+00	  0.0000e+00	  5.4823e-05	  0.0000e+00	  1.2608e-03	  0.0000e+00	  0.0000e+00	  1.2727e-07	  1.2208e-06	  2.0352e-06	  1.0774e-06	  0.0000e+00	  0.0000e+00	  1.9144e-04	  7.0843e-03	  0.0000e+00	   -999.9990	   -999.9990	     -0.2642	      4.7922	      5.7420	     -3.2066	   -999.9990	   -999.9990	   -999.9990	   -999.9990	      3WBR2 	  1.9461e+03	  4.6005e-01	  6.1985e-04	
           2	      i_soln	          10	         -99	         -99	         -99	     11.6626	           4	      29.600	   0.0133108	    0.010177	-1.13841e-15	-6.16334e-12	  7.2835e-03	  3.6453e-05	  1.6675e-06	  9.8280e-04	  2.4798e-05	  6.0745e-05	  0.0000e+00	  4.3890e-05	  7.0985e-05	  0.0000e+00	  1.3472e-03	  0.0000e+00	  0.0000e+00	  1.2055e-07	  1.7947e-04	  1.6197e-07	  3.1613e-07	  0.0000e+00	  0.0000e+00	  2.0477e-04	  7.2950e-03	  0.0000e+00	   -999.9990	   -999.9990	     -0.2394	      6.9529	      5.7312	     -3.1312	   -999.9990	   -999.9990	   -999.9990	   -999.9990	     3WBRA2 	  2.0036e+03	  5.1331e-01	  6.6620e-04	
