         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	        temp	         Alk	          mu	      charge	     pct_err	          Na	           K	          Mg	          Ca	           F	          Cl	       S(+6)	          Br	       N(+5)	        P(5)	          Al	           V	          Cr	          Mn	          Fe	          Cu	          Zn	          Ga	          As	          Si	       m_OH-	     m_HCO3-	     m_CO3-2	  si_Fe(OH)2	  si_Fe(OH)3	 si_Gibbsite	 si_Goethite	si_Pyrolusite	si_Kaolinite	 si_Diaspore	si_Magnetite	 si_Boehmite	  si_Cuprite	   si_CO2(g)	  Sample_Ref	  EC_(uS/cm)	TDS_g/kg-solution	    alk_mg/L	
           2	       react	           1	         -99	           0	           1	     7.64479	     11.5499	      25.600	   0.0378799	   0.0343303	  2.0387e-11	  4.0988e-08	  1.9442e-02	  2.6007e-05	  1.2308e-08	  1.8137e-03	  6.1950e-05	  9.2141e-05	  0.0000e+00	  0.0000e+00	  5.1079e-05	  0.0000e+00	  4.9889e-03	  9.9037e-06	  4.9837e-07	  1.1256e-07	  5.6701e-10	  1.9891e-06	  1.1537e-06	  2.6598e-06	  1.5909e-07	  3.5485e-06	  5.3033e-07	  2.4365e-02	  8.0375e-05	    -17.3209	     -2.8858	      3.4814	      2.2158	      4.7070	      4.7980	      4.0783	     -8.3527	      3.6762	    -17.1138	     -1.5000	      1WBR1 	  0.0000e+00	  2.4244e+00	  1.8959e-03	
           3	       react	           1	         -99	           0	           1	     7.64479	     11.5499	      25.600	   0.0378799	   0.0343303	 1.74113e-16	 3.50054e-13	  1.9442e-02	  2.6007e-05	  1.2308e-08	  1.8137e-03	  6.1950e-05	  9.2141e-05	  0.0000e+00	  0.0000e+00	  5.1079e-05	  0.0000e+00	  4.9889e-03	  9.9037e-06	  4.9837e-07	  1.1256e-07	  5.6701e-10	  1.9891e-06	  1.1537e-06	  2.6598e-06	  1.5909e-07	  3.5485e-06	  5.3033e-07	  2.4365e-02	  8.0375e-05	    -17.3209	     -2.8858	      3.4814	      2.2158	      4.7070	      4.7980	      4.0783	     -8.3527	      3.6762	    -17.1138	     -1.5000	      1WBR1 	  0.0000e+00	  2.4244e+00	  1.8959e-03	
           3	       react	           2	         -99	           0	           1	     7.61236	     11.5829	      25.600	   0.0327058	   0.0302501	 -2.1294e-14	-4.61805e-11	  1.8739e-02	  1.0008e-04	  1.2307e-08	  1.4872e-03	  2.8565e-05	  2.7824e-04	  0.0000e+00	  0.0000e+00	  5.2983e-05	  0.0000e+00	  3.7386e-03	  1.5781e-05	  7.2777e-07	  8.3755e-10	  1.3816e-05	  5.7481e-07	  1.7049e-07	  2.2233e-06	  4.2048e-07	  2.0990e-04	  4.8787e-07	  2.2424e-02	  6.6976e-05	    -12.9358	      1.4998	      3.4661	      6.6014	      2.5492	      8.3120	      4.0630	      4.8034	      3.6608	    -18.1757	     -1.5000	     1WBRA2 	  0.0000e+00	  2.2143e+00	  1.6369e-03	
           3	       react	           3	         -99	           0	           1	     7.64814	     11.4172	      29.300	   0.0364886	   0.0326575	-4.90758e-17	-1.01946e-13	  1.9498e-02	  2.4978e-05	  1.2308e-08	  1.4179e-03	  7.8438e-05	  8.7792e-05	  0.0000e+00	  0.0000e+00	  2.2864e-04	  0.0000e+00	  4.8331e-03	  1.7389e-05	  4.3010e-07	  8.3761e-10	  4.6629e-07	  9.9692e-08	  1.3892e-07	  2.7660e-06	  4.1490e-07	  2.8155e-04	  6.9953e-07	  2.3181e-02	  8.1994e-05	    -14.1211	      0.2096	      3.7044	      5.2630	      2.8349	      8.9250	      4.3172	      0.9378	      3.9212	    -19.3537	     -1.5000	     1WBRS1 	  0.0000e+00	  2.3447e+00	  1.8263e-03	
           3	       react	           4	         -99	           0	           1	     7.95992	     10.8902	      30.200	   0.0570319	   0.0591263	-2.10796e-14	-2.10436e-11	  3.1866e-02	  3.9077e-05	  1.5563e-06	  1.2721e-02	  2.4590e-05	  1.1827e-04	  7.9072e-05	  0.0000e+00	  5.0972e-05	  0.0000e+00	  8.5793e-06	  2.7595e-06	  3.9005e-07	  8.3796e-10	  4.4336e-06	  3.5435e-07	  2.7423e-07	  3.0730e-07	  4.2028e-10	  1.7500e-05	  1.6003e-06	  4.8917e-02	  4.0950e-04	    -12.8850	      1.2361	      1.7842	      6.2782	      2.7679	      2.6294	      2.4011	      4.2045	      2.0066	    -18.1305	     -1.5000	    1WBRG2  	  0.0000e+00	  4.6189e+00	  2.8544e-03	
           3	       react	           5	         -99	           0	           1	     7.41304	      11.564	      29.800	    0.019194	   0.0176058	-2.01791e-14	-7.61397e-11	  1.0492e-02	  1.4139e-05	  1.2303e-08	  9.1160e-04	  3.3638e-05	  5.8186e-05	  0.0000e+00	  0.0000e+00	  5.0217e-05	  0.0000e+00	  2.3326e-03	  6.9540e-06	  2.0591e-07	  8.3729e-10	  5.6678e-10	  7.2859e-08	  1.4676e-07	  8.4957e-07	  1.2401e-07	  3.3306e-05	  4.0588e-07	  1.2900e-02	  2.3982e-05	    -16.9400	     -2.6942	      3.6371	      2.3525	      2.4444	      6.9257	      4.2518	     -7.7027	      3.8566	    -19.3703	     -1.5000	      2WBR1 	  0.0000e+00	  1.2767e+00	  9.6066e-04	
           3	       react	           6	         -99	           0	           1	     7.45736	     11.4932	      30.100	   0.0211293	   0.0196051	-2.94392e-13	-9.86788e-10	  1.1728e-02	  6.2155e-05	  1.2304e-08	  1.1079e-03	  1.6593e-04	  8.3813e-05	  0.0000e+00	  4.2246e-05	  5.3119e-05	  0.0000e+00	  2.4699e-03	  1.0931e-05	  4.1857e-07	  1.0959e-07	  4.1078e-05	  1.5242e-06	  7.6883e-07	  9.9785e-07	  3.2369e-07	  1.4922e-04	  4.6220e-07	  1.4309e-02	  3.0158e-05	    -12.0379	      2.1834	      3.6711	      7.2263	      4.6080	      8.2863	      4.2870	      6.9468	      3.8924	    -16.6740	     -1.5000	     2WBRA1 	  0.0000e+00	  1.4316e+00	  1.0575e-03	
           3	       react	           7	         -99	           0	           1	     7.38734	     11.5762	      30.100	   0.0171671	   0.0160895	 4.38346e-14	 1.76742e-10	  9.6688e-03	  1.5439e-05	  1.2652e-06	  1.0169e-03	  3.4785e-05	  6.2219e-05	  0.0000e+00	  0.0000e+00	  5.0436e-05	  0.0000e+00	  1.8549e-03	  1.1539e-05	  1.2120e-07	  8.3726e-10	  1.5996e-05	  6.2971e-08	  1.0252e-07	  6.0190e-07	  3.6772e-07	  1.7985e-04	  3.8893e-07	  1.2046e-02	  2.0920e-05	    -12.4655	      1.7688	      3.6397	      6.8117	      2.4234	      8.3868	      4.2556	      5.6899	      3.8610	    -19.4599	     -1.5000	    2WBRS1  	  0.0000e+00	  1.1899e+00	  8.5921e-04	
           3	       react	           8	         -99	           0	           1	     7.78918	     11.1413	      29.600	   0.0371025	   0.0428863	-3.67495e-14	-5.55039e-11	  1.2433e-02	  1.7593e-05	  1.4819e-06	  1.2438e-02	  2.8325e-05	  5.8095e-05	  5.3675e-05	  0.0000e+00	  5.0357e-05	  0.0000e+00	  2.9981e-06	  2.7504e-06	  1.0045e-07	  8.3760e-10	  4.6933e-06	  1.0657e-07	  2.4304e-07	  1.8071e-07	  4.2010e-10	  1.7159e-04	  1.0089e-06	  3.2538e-02	  1.6933e-04	    -12.9670	      1.2308	      1.5316	      6.2803	      2.7351	      4.1380	      2.1457	      4.1266	      1.7502	    -19.1189	     -1.5000	     2WBRG1 	  0.0000e+00	  3.0299e+00	  1.8570e-03	
           3	       react	           9	         -99	           0	           1	     7.26505	      11.715	      30.200	    0.012392	   0.0119649	-1.76635e-13	-9.60429e-10	  6.7788e-03	  1.1167e-05	  1.2301e-08	  9.6464e-04	  1.9512e-05	  4.9996e-05	  0.0000e+00	  0.0000e+00	  5.4823e-05	  0.0000e+00	  1.2608e-03	  6.4602e-06	  2.1606e-07	  1.2727e-07	  1.2208e-06	  2.0353e-06	  1.0771e-06	  2.6326e-07	  4.1989e-10	  1.9149e-04	  2.9103e-07	  8.9406e-03	  1.1226e-05	    -13.6064	      0.6451	      3.5892	      5.6867	      4.4694	      8.3383	      4.2054	      2.2989	      3.8110	    -16.4697	     -1.5000	      3WBR2 	  0.0000e+00	  8.8777e-01	  6.2022e-04	
           3	       react	          10	         -99	           0	           1	     7.28571	     11.7445	      29.600	   0.0133194	   0.0127578	-3.58334e-15	-1.82458e-11	  7.2838e-03	  3.6458e-05	  1.6681e-06	  9.8289e-04	  2.4799e-05	  6.0748e-05	  0.0000e+00	  4.3891e-05	  7.0986e-05	  0.0000e+00	  1.3473e-03	  7.6582e-06	  3.4752e-07	  1.2056e-07	  1.7947e-04	  1.6198e-07	  3.1605e-07	  4.3471e-07	  2.3418e-07	  2.0481e-04	  2.9325e-07	  9.4894e-03	  1.2474e-05	    -11.5119	      2.7859	      3.5632	      7.8351	      4.4972	      8.3632	      4.1770	      8.6907	      3.7815	    -18.7831	     -1.5000	     3WBRA2 	  0.0000e+00	  9.6597e-01	  6.6664e-04	
           3	       react	          11	         -99	           0	           1	     7.28122	     11.6218	      31.400	   0.0129885	   0.0124247	-5.57813e-16	-2.95033e-12	  6.8093e-03	  1.2600e-05	  2.4520e-06	  1.0597e-03	  1.8628e-05	  7.2229e-05	  0.0000e+00	  0.0000e+00	  5.6558e-05	  0.0000e+00	  1.3735e-03	  6.7921e-06	  1.9372e-07	  8.3718e-10	  6.1346e-05	  1.2275e-07	  2.2885e-07	  2.7316e-07	  2.2510e-07	  2.5143e-06	  3.2974e-07	  9.1337e-03	  1.2231e-05	    -11.7773	      2.4050	      3.6669	      7.4312	      2.3173	      4.6933	      4.2880	      7.6162	      3.8955	    -18.7237	     -1.5000	    3WBRS2  	  0.0000e+00	  9.0609e-01	  6.5008e-04	
           3	       react	          12	         -99	           0	           1	     7.26747	     11.7491	      29.700	  0.00995643	    0.012038	-6.60076e-16	-3.44376e-12	  4.8512e-03	  8.8441e-06	  1.2301e-08	  2.4863e-03	  2.2871e-05	  2.6896e-04	  5.2824e-06	  0.0000e+00	  5.7278e-05	  5.5222e-05	  1.5956e-04	  2.5546e-06	  4.2737e-08	  8.3716e-10	  7.8323e-07	  7.5634e-08	  1.8846e-07	  3.3269e-07	  4.1988e-10	  3.7297e-04	  2.8239e-07	  9.0599e-03	  1.1345e-05	    -13.8561	      0.4287	      3.4718	      5.4767	      2.2827	      8.6981	      4.0860	      1.6296	      3.6907	    -19.4317	     -1.5000	    3WBRG3  	  0.0000e+00	  8.7255e-01	  4.9832e-04	
