         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	        temp	         Alk	          mu	      charge	     pct_err	          Na	           K	          Mg	          Ca	           F	          Cl	       S(+6)	          Br	       N(+5)	        P(5)	          Al	           V	          Cr	          Mn	          Fe	          Cu	          Zn	          Ga	          As	          Si	       m_OH-	     m_HCO3-	  si_Fe(OH)2	  si_Fe(OH)3	 si_Gibbsite	 si_Goethite	si_Pyrolusite	si_Kaolinite	 si_Diaspore	si_Magnetite	 si_Boehmite	  si_Cuprite	  Sample_Ref	  EC_(uS/cm)	TDS_g/kg-solution	    alk_mg/L	
           2	      i_soln	           1	         -99	         -99	         -99	       11.98	           4	      25.600	   0.0312986	   0.0212985	  0.00657575	     16.7611	  1.9439e-02	  2.6003e-05	  1.2306e-08	  1.8134e-03	  6.1941e-05	  9.2127e-05	  0.0000e+00	  0.0000e+00	  5.1074e-05	  0.0000e+00	  4.9882e-03	  9.9022e-06	  4.9829e-07	  1.1255e-07	  5.6692e-10	  1.9889e-06	  1.1535e-06	  2.6594e-06	  1.5907e-07	  3.5480e-06	  1.1121e-02	  0.0000e+00	    -16.5197	     -5.2992	      0.7742	     -0.1977	      4.7037	     -5.3472	      1.3710	    -12.3788	      0.9689	     -5.4907	      1WBR1 	  0.0000e+00	  1.0155e+00	  1.5665e-03	
           2	      i_soln	           2	         -99	         -99	         -99	       11.76	           4	      25.600	   0.0219735	   0.0177081	   0.0107287	      32.977	  1.8737e-02	  1.0007e-04	  1.2306e-08	  1.4870e-03	  2.8562e-05	  2.7821e-04	  0.0000e+00	  0.0000e+00	  5.2979e-05	  0.0000e+00	  3.7382e-03	  1.5779e-05	  7.2770e-07	  8.3746e-10	  1.3814e-05	  5.7474e-07	  1.7047e-07	  2.2230e-06	  4.2043e-07	  2.0987e-04	  6.6291e-03	  0.0000e+00	    -11.6895	     -0.6890	      0.8736	      4.4125	      2.7042	     -1.1239	      1.4703	      1.6717	      1.0682	     -5.2121	     1WBRA2 	  0.0000e+00	  8.6222e-01	  1.0998e-03	
           2	      i_soln	           3	         -99	         -99	         -99	       11.93	           4	      29.300	   0.0328493	   0.0216464	  0.00363432	     8.95535	  1.9495e-02	  2.4974e-05	  1.2306e-08	  1.4177e-03	  7.8427e-05	  8.7781e-05	  0.0000e+00	  0.0000e+00	  2.2861e-04	  0.0000e+00	  4.8324e-03	  1.7386e-05	  4.3004e-07	  8.3750e-10	  4.6622e-07	  9.9679e-08	  1.3891e-07	  2.7656e-06	  4.1484e-07	  2.8151e-04	  1.3029e-02	  0.0000e+00	    -13.3505	     -2.1550	      0.6440	      2.8982	      3.5566	     -1.8975	      1.2567	     -3.0212	      0.8608	     -7.7490	     1WBRS1 	  0.0000e+00	  1.0569e+00	  1.6441e-03	
           2	      i_soln	           4	         -99	         -99	         -99	       10.92	           4	      30.200	  0.00158731	   0.0421358	   0.0554469	     94.0657	  3.1867e-02	  3.9079e-05	  1.5564e-06	  1.2721e-02	  2.4591e-05	  1.1828e-04	  7.9075e-05	  0.0000e+00	  5.0975e-05	  0.0000e+00	  8.5796e-06	  2.7596e-06	  3.9007e-07	  8.3800e-10	  4.4337e-06	  3.5436e-07	  2.7424e-07	  3.0732e-07	  4.2030e-10	  1.7501e-05	  1.4223e-03	  0.0000e+00	    -10.3492	     -0.1579	     -1.1560	      4.8838	      1.0129	     -6.1081	     -0.5395	      3.9508	     -0.9340	     -0.8484	    1WBRG2  	  0.0000e+00	  1.2864e+00	  7.9445e-05	
           2	      i_soln	           5	         -99	         -99	         -99	       11.82	           4	      29.800	   0.0196619	   0.0133467	-0.000469177	    -1.87957	  1.0491e-02	  1.4139e-05	  1.2302e-08	  9.1154e-04	  3.3636e-05	  5.8182e-05	  0.0000e+00	  0.0000e+00	  5.0215e-05	  0.0000e+00	  2.3324e-03	  6.9535e-06	  2.0590e-07	  8.3723e-10	  5.6674e-10	  7.2854e-08	  1.4676e-07	  8.4951e-07	  1.2400e-07	  3.3304e-05	  1.0204e-02	  0.0000e+00	    -16.0143	     -4.9255	      0.4278	      0.1212	      3.4034	     -3.8052	      1.0425	    -11.2396	      0.6473	     -7.2617	      2WBR1 	  0.0000e+00	  5.9950e-01	  9.8408e-04	
           2	      i_soln	           6	         -99	         -99	         -99	       11.54	           4	      30.100	   0.0156484	   0.0122642	  0.00547939	     24.5163	  1.1727e-02	  6.2151e-05	  1.2303e-08	  1.1078e-03	  1.6592e-04	  8.3808e-05	  0.0000e+00	  4.2243e-05	  5.3118e-05	  0.0000e+00	  2.4697e-03	  1.0931e-05	  4.1855e-07	  1.0959e-07	  4.1075e-05	  1.5241e-06	  7.6878e-07	  9.9778e-07	  3.2367e-07	  1.4921e-04	  5.4486e-03	  0.0000e+00	    -10.5821	      0.2287	      0.7212	      5.2716	      4.2267	     -1.3783	      1.3371	      4.4930	      0.9424	     -2.9240	     2WBRA1 	  0.0000e+00	  5.8624e-01	  7.8320e-04	
           2	      i_soln	           7	         -99	         -99	         -99	       11.76	           4	      30.100	   0.0167893	   0.0124032	 0.000376883	     1.65016	  9.6683e-03	  1.5438e-05	  1.2652e-06	  1.0169e-03	  3.4783e-05	  6.2216e-05	  0.0000e+00	  0.0000e+00	  5.0435e-05	  0.0000e+00	  1.8548e-03	  1.1539e-05	  1.2119e-07	  8.3722e-10	  1.5995e-05	  6.2967e-08	  1.0251e-07	  6.0186e-07	  3.6771e-07	  1.7984e-04	  9.0475e-03	  0.0000e+00	    -11.4302	     -0.3994	      0.3768	      4.6435	      3.3134	     -2.3139	      0.9926	      2.3888	      0.5980	     -7.0121	    2WBRS1  	  0.0000e+00	  5.5113e-01	  8.4030e-04	
           2	      i_soln	           8	         -99	         -99	         -99	       10.94	           4	      29.600	  0.00169091	    0.031805	   0.0354124	     91.0719	  1.2433e-02	  1.7593e-05	  1.4820e-06	  1.2438e-02	  2.8325e-05	  5.8096e-05	  5.3676e-05	  0.0000e+00	  5.0359e-05	  0.0000e+00	  2.9982e-06	  2.7505e-06	  1.0045e-07	  8.3762e-10	  4.6934e-06	  1.0658e-07	  2.4305e-07	  1.8072e-07	  4.2011e-10	  1.7159e-04	  1.3978e-03	  0.0000e+00	    -10.3806	     -0.1731	     -1.5964	      4.8762	      1.0119	     -4.7158	     -0.9826	      3.9043	     -1.3781	     -1.9414	     2WBRG1 	  0.0000e+00	  8.3490e-01	  8.4630e-05	
           2	      i_soln	           9	         -99	         -99	         -99	       11.69	           4	      30.200	   0.0129993	   0.0098674	-0.000607694	    -3.40144	  6.7786e-03	  1.1167e-05	  1.2301e-08	  9.6460e-04	  1.9512e-05	  4.9994e-05	  0.0000e+00	  0.0000e+00	  5.4823e-05	  0.0000e+00	  1.2608e-03	  6.4600e-06	  2.1605e-07	  1.2727e-07	  1.2208e-06	  2.0352e-06	  1.0770e-06	  2.6325e-07	  4.1987e-10	  1.9148e-04	  7.6709e-03	  0.0000e+00	    -12.3993	     -1.4378	      0.2796	      3.6038	      4.6508	     -2.2441	      0.8959	     -0.6599	      0.5014	     -3.5342	      3WBR2 	  0.0000e+00	  4.2212e-01	  6.5061e-04	
           2	      i_soln	          10	         -99	         -99	         -99	       11.33	           4	      29.600	  0.00917763	  0.00812725	  0.00414129	     28.9526	  7.2835e-03	  3.6457e-05	  1.6680e-06	  9.8285e-04	  2.4798e-05	  6.0745e-05	  0.0000e+00	  4.3890e-05	  7.0986e-05	  0.0000e+00	  1.3472e-03	  7.6579e-06	  3.4751e-07	  1.2055e-07	  1.7947e-04	  1.6197e-07	  3.1604e-07	  4.3470e-07	  2.3418e-07	  2.0481e-04	  3.1793e-03	  0.0000e+00	     -9.5372	      1.0604	      0.6984	      6.1096	      3.6604	     -0.5931	      1.3122	      7.2144	      0.9167	     -3.5589	     3WBRA2 	  0.0000e+00	  3.9160e-01	  4.5934e-04	
